epoch,train_loss,test_loss,test_smape,test_mae,test_rmse,test_r2,epoch_sec,lr
1,0.0242374816190694,1.0930542703252286,1.6361325517201135,60.01557540893555,68.08623108442154,-2.4874329566955566,38.38714289665222,0.0003
2,0.0041349755019705,1.0982286053244024,1.6336605455282112,60.123046875,68.17272912311601,-2.496299743652344,33.2239716053009,0.0003
3,0.001853138855844,1.1093808769714086,1.636885677139524,60.65142059326172,68.58519664780987,-2.5387353897094727,30.808754205703732,0.0003
4,0.0012246391803879,1.1167998641729355,1.6381537030705258,60.9776496887207,68.90052768189624,-2.571349859237671,34.156009674072266,0.00015
5,0.0008261983385781,1.1062689701095223,1.6383082463365206,60.57759094238281,68.45599778553009,-2.5254154205322266,33.214659452438354,0.00015
