epoch,train_loss,test_loss,test_smape,test_mae,test_rmse,test_r2,epoch_sec,lr
1,0.024141004855704,1.099246959388256,1.634741021870959,60.2120361328125,68.37490716401376,-2.5170681476593018,117.6398901939392,0.0003
2,0.0040324068682241,1.1104602527339011,1.6334409650547137,60.58019256591797,68.69661990183724,-2.5502426624298096,124.02647233009338,0.0003
3,0.0018150424690195,1.1127067623659967,1.636992629676202,60.78516387939453,68.74091914459503,-2.5548226833343506,120.9014654159546,0.0003
4,0.0011469748740479,1.124975140299648,1.6382848214414445,61.29314041137695,69.24341053373779,-2.606984138488769,122.2063045501709,0.00015
5,0.0007762935848154,1.106924461200833,1.6384588320696154,60.61035537719727,68.50291180512876,-2.530249118804932,119.55588865280151,0.00015
