epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,train_sec
1,0.04577495526576204,0.01733416492075083,4.937770843505859,6.930781504944959,0.879565417766571,11.306149005889893
2,0.006886837463715163,0.005737823893183044,2.7624831199645996,3.9875335739779136,0.9601346850395203,9.935835599899292
3,0.0038955083163178185,0.0020352570040683663,1.7857561111450195,2.3748728065562914,0.9858593940734863,10.189847469329834
4,0.002664262762280559,0.0010686458825754622,1.29356050491333,1.7208684177224307,0.9925752282142639,10.14582896232605
5,0.002122973530065069,0.0005963008568089988,0.9722903370857239,1.2854745580825546,0.9958570003509521,9.737769842147827
