epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,train_sec
1,0.18200795171163603,0.017831931241034042,5.0550055503845215,7.029588833718696,0.8761070370674133,10.184033632278442
2,0.010959402291846406,0.007686927604178588,3.179216146469116,4.615376538489683,0.9465926289558411,9.593494892120361
3,0.005966840469347236,0.0031959328578696363,2.404545307159424,2.975977081641272,0.9777952432632446,9.414634227752686
4,0.0036006913065020955,0.0012404168434884577,1.479272484779358,1.854020559433537,0.991381824016571,9.502856731414795
5,0.0025690765528779036,0.0014391269640154428,1.6230621337890625,1.9970102613602845,0.9900012016296387,9.299718379974365
6,0.002132403379098094,0.0009301180685205119,1.3248050212860107,1.6054611020242486,0.9935377240180969,9.716875076293945
7,0.001712583782374479,0.0007328654622792134,1.1626355648040771,1.4250918877405865,0.9949082136154175,9.473646879196167
8,0.0015143662826027546,0.00043877535610504094,0.857914388179779,1.1026859911993885,0.9969514608383179,9.440589666366577
9,0.00125105236937864,0.0005514574203906315,0.9742246270179749,1.236194235736817,0.9961685538291931,9.57459282875061
10,0.0012196438249751306,0.0006296886097905891,1.0119796991348267,1.3209720296071585,0.9956250190734863,9.779869318008423
11,0.001137421075048949,0.0004760665846766815,0.9052104353904724,1.1485888323044848,0.9966923594474792,9.610824823379517
12,0.0010572823970408489,0.00040140253425176655,0.8167182803153992,1.0546802096644736,0.9972111582756042,9.719120979309082
13,0.0010130025357595102,0.0005614412000535854,0.9172360301017761,1.2473342604230178,0.9960992336273193,9.859087705612183
14,0.0009496819864212359,0.00037720439722761513,0.782780110836029,1.0223958778996716,0.9973792433738708,9.623096227645874
15,0.0009477221097214782,0.0006140643398144416,1.0798003673553467,1.3044807133153573,0.9957336187362671,10.960798740386963
16,0.0008298940518230022,0.0002952654083769414,0.6832478642463684,0.9045592353828837,0.9979485273361206,12.122227668762207
17,0.000753276491123857,0.0003237313413549037,0.7211682796478271,0.9471594367531391,0.9977507591247559,11.584876775741577
18,0.0007364867823024359,0.00032237591637697605,0.7186998128890991,0.9451745303015274,0.9977601766586304,6.3291521072387695
19,0.0007499533313438898,0.0003391868049567122,0.71265709400177,0.9695053847164866,0.9976434111595154,4.120595693588257
20,0.0007545494128290813,0.0003149962850979396,0.7253378629684448,0.9342937957281665,0.9978114366531372,4.058078050613403
