epoch,train_loss,val_loss,mae,rmse,val_r2,train_sec
1,0.40063917538866906,0.15297756010944524,0.4590275287628174,0.5562218948293357,0.6289007663726807,3.5249288082122803
2,0.09947768203881956,0.04410112100732201,0.22600091993808746,0.29728462168564845,0.8939919471740723,2.423560857772827
3,0.05180806163254194,0.018303496961344753,0.14325803518295288,0.1914753108095166,0.956023633480072,2.43699049949646
4,0.03563529539292559,0.009758196624843939,0.1040610820055008,0.1397578471084203,0.9765713810920715,2.341858148574829
5,0.031304919139595225,0.008740651444365727,0.0963398739695549,0.13225245905385555,0.9790201783180237,2.3312199115753174
