epoch,train_loss,test_loss,test_smape,test_mae,test_rmse,test_r2,train_sec,epoch_sec,lr
1,0.0807331483203755,0.0217076186090707,0.3568140856975883,7.047399044036865,8.164361537585547,0.9464318156242372,27.027777433395386,27.027777433395386,0.0003
2,0.0240960680353252,0.0096221108213756,0.2006178759851922,4.017464637756348,5.454498730083671,0.9760904312133788,25.55197095870972,25.55197095870972,0.0003
3,0.0121555019172576,0.0036489874538448,0.1442001243963281,2.348902940750122,3.352329264253689,0.9909685850143432,24.65777349472046,24.65777349472046,0.0003
4,0.0052566231208165,0.0026873662459871,0.149130534716544,2.379530906677246,2.8818673752944672,0.993325650691986,24.96910548210144,24.96910548210144,0.0003
5,0.0035866779356223,0.002332157759358,0.1335547081997067,2.2375454902648926,2.685517045288879,0.9942041635513306,25.110071897506717,25.110071897506717,0.0003
