epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,train_sec
1,0.3501040570889841,0.1919164548706471,19.562549591064453,23.28541804132739,-0.38916754722595215,6.349552631378174
2,0.179713610767995,0.20008986866629702,18.66193962097168,24.022242094242056,-0.4784737825393677,5.817236661911011
3,0.166757444983335,0.23540646771094978,20.463897705078125,26.367075231242467,-0.7811908721923828,5.8658974170684814
4,0.15895739817308271,0.24657736978496944,21.09499168395996,26.99242605719473,-0.8666821718215942,5.819945812225342
5,0.1462231180862587,0.22472871870049943,19.63705062866211,25.768185610330377,-0.7011955976486206,5.769728660583496
