epoch,train_loss,val_loss,mae,rmse,val_r2,train_sec
1,0.2973865706834851,0.055284954925697856,0.2609224021434784,0.33252573777734923,0.8783403038978577,23.52611756324768
2,0.06511155879538791,0.03616042438425334,0.2245003581047058,0.2689253728341099,0.9204280972480774,17.185760259628296
3,0.025361458818810145,0.015318204668033417,0.12360697239637375,0.17503258963673118,0.9662919044494629,17.199976205825806
4,0.0133397515064345,0.00894849068704618,0.0918876901268959,0.13379126219785828,0.9803051948547363,17.454163551330566
5,0.009086164938570158,0.006651296436099907,0.07938247919082642,0.11534710397187327,0.9853610396385193,17.158703804016113
