epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,train_sec
1,0.29384965912743805,0.03127535381367342,5.204471642505516,7.094560020280793,0.9639085530812739,1.4000558853149414
2,0.0466496673660632,0.01983101288856473,4.379653385472349,5.649328110343009,0.9771152086474946,1.1032133102416992
3,0.030636829541532018,0.017142850865695416,3.9957876166759787,5.252497657346547,0.9802173214684918,1.237725019454956
4,0.020508369303855446,0.013756047842530537,3.5810882982622148,4.705125229452347,0.984125657992312,1.241034746170044
5,0.014900578814319552,0.00990273964354146,3.1116938545338977,3.9921056975423017,0.9885723370726895,1.302656888961792
